,0
2008-12-03,412420.0
2008-12-04,413190.0
2008-12-05,415320.0
2008-12-08,418260.0
2008-12-09,420630.0
2008-12-10,421040.0
2008-12-11,424390.0
2008-12-12,425320.0
2008-12-15,427480.0
2008-12-16,430960.0
2008-12-17,431420.0
2008-12-18,432960.0
2008-12-19,433060.0
2008-12-22,433530.0
2008-12-23,434190.0
2008-12-24,434880.0
2008-12-26,434930.0
2008-12-29,434940.0
2008-12-30,436090.0
2008-12-31,436580.0
2009-01-02,436770.0
2009-01-05,438770.0
2009-01-06,439370.0
2009-01-07,441070.0
2009-01-08,441890.0
2009-01-09,443080.0
2009-01-12,444080.0
2009-01-13,445440.0
2009-01-14,445850.0
2009-01-15,447340.0
2009-01-16,448790.0
2009-01-20,453270.0
2009-01-21,457570.0
2009-01-22,458020.0
2009-01-23,459140.0
2009-01-26,459350.0
2009-01-27,459880.0
2009-01-28,462350.0
2009-01-29,464470.0
2009-01-30,464550.0
2009-02-02,464850.0
2009-02-03,465940.0
2009-02-04,465950.0
2009-02-05,466430.0
2009-02-06,469360.0
2009-02-09,469690.0
2009-02-10,472220.0
2009-02-11,473620.0
2009-02-12,473710.0
2009-02-13,475130.0
2009-02-17,478020.0
2009-02-18,478150.0
2009-02-19,479010.0
2009-02-20,479670.0
2009-02-23,480040.0
2009-02-24,481470.0
2009-02-25,482140.0
2009-02-26,483390.0
2009-02-27,483580.0
2009-03-02,485180.0
2009-03-03,485320.0
2009-03-04,486940.0
2009-03-05,489500.0
2009-03-06,490140.0
2009-03-09,490170.0
2009-03-10,493590.0
2009-03-11,494440.0
2009-03-12,497100.0
2009-03-13,497620.0
2009-03-16,498250.0
2009-03-17,500200.0
2009-03-18,502060.0
2009-03-19,504100.0
2009-03-20,505810.0
2009-03-23,511220.0
2009-03-24,513550.0
2009-03-25,515600.0
2009-03-26,516110.0
2009-03-27,517720.0
2009-03-30,520140.0
2009-03-31,521780.0
2009-04-01,523260.0
2009-04-02,523330.0
2009-04-03,524390.0
2009-04-06,525410.0
2009-04-07,526320.0
2009-04-08,526490.0
2009-04-09,531550.0
2009-04-13,532450.0
2009-04-14,535300.0
2009-04-15,537070.0
2009-04-16,537710.0
2009-04-17,537730.0
2009-04-20,541120.0
2009-04-21,543820.0
2009-04-22,544420.0
2009-04-23,545670.0
2009-04-24,545830.0
2009-04-27,546400.0
2009-04-28,546410.0
2009-04-29,548010.0
2009-04-30,549410.0
2009-05-01,549900.0
2009-05-04,553040.0
2009-05-05,553960.0
2009-05-06,556240.0
2009-05-07,558130.0
2009-05-08,561650.0
2009-05-11,564600.0
2009-05-12,565050.0
2009-05-13,566300.0
2009-05-14,567720.0
2009-05-15,568320.0
2009-05-18,570550.0
2009-05-19,571920.0
2009-05-20,573120.0
2009-05-21,573450.0
2009-05-22,573910.0
2009-05-26,575930.0
2009-05-27,577720.0
2009-05-28,579610.0
2009-05-29,579850.0
2009-06-01,580600.0
2009-06-02,582130.0
2009-06-03,582620.0
2009-06-04,583920.0
2009-06-05,584680.0
2009-06-08,585480.0
2009-06-09,585610.0
2009-06-10,586010.0
2009-06-11,586110.0
2009-06-12,586290.0
2009-06-15,587360.0
2009-06-16,587840.0
2009-06-17,588570.0
2009-06-18,589940.0
2009-06-19,590730.0
2009-06-22,592760.0
2009-06-23,593430.0
2009-06-24,593540.0
2009-06-25,594190.0
2009-06-26,594480.0
2009-06-29,594630.0
2009-06-30,595100.0
2009-07-01,595380.0
2009-07-02,596800.0
2009-07-06,597110.0
2009-07-07,597310.0
2009-07-08,597400.0
2009-07-09,598260.0
2009-07-10,599480.0
2009-07-13,601740.0
2009-07-14,601750.0
2009-07-15,603230.0
2009-07-16,603350.0
2009-07-17,604070.0
2009-07-20,604160.0
2009-07-21,604200.0
2009-07-22,604300.0
2009-07-23,605550.0
2009-07-24,605770.0
2009-07-27,605970.0
2009-07-28,606010.0
2009-07-29,606310.0
2009-07-30,606980.0
2009-07-31,607150.0
2009-08-03,608050.0
2009-08-04,608630.0
2009-08-05,610130.0
2009-08-06,611110.0
2009-08-07,612640.0
2009-08-10,612950.0
2009-08-11,614330.0
2009-08-12,615260.0
2009-08-13,615910.0
2009-08-14,616340.0
2009-08-17,617970.0
2009-08-18,618890.0
2009-08-19,619170.0
2009-08-20,620140.0
2009-08-21,621320.0
2009-08-24,621940.0
2009-08-25,622480.0
2009-08-26,622750.0
2009-08-27,622900.0
2009-08-28,623410.0
2009-08-31,623930.0
2009-09-01,625640.0
2009-09-02,626410.0
2009-09-03,627600.0
2009-09-04,627820.0
2009-09-08,628010.0
2009-09-09,628310.0
2009-09-10,628470.0
